时间,城市,温度,天气,风力,体感,湿度,风速(km/h),风向角,降水量(mm),气压(hPa),能见度(km),云量(%),预警
2026-6-28 17:00:00,哈尔滨,18,雾,南风1级,19,98%,4,180,0.0,996,8,97,
2026-6-28 19:08:00,哈尔滨,18,雾,西风2级,19,95%,6,270,0.0,996,10,95,
2026-6-28 20:56:00,哈尔滨,19,雾,北风2级,20,96%,8,0,0.0,997,8,97,
2026-6-28 22:57:00,哈尔滨,21,多云,东风2级,22,88%,11,90,0.0,997,13,99,
2026-6-29 03:50:00,哈尔滨,26,多云,东风3级,26,68%,17,90,0.0,997,25,96,
